6,0,1
6,5,1
5,10,1
6,15,1
5,20,1
5,25,1
6,30,1
5,35,1
5,40,1
5,45,1
5,50,1
6,55,1
6,60,1
5,65,1
5,70,1
6,75,1
5,80,1
6,85,1
6,90,1
6,95,1
5,100,1
6,105,1
6,110,1
6,115,1
5,120,1
5,125,1
5,130,1
6,135,1
6,140,1
5,145,1
6,150,1
5,155,1
6,160,1
5,165,1
6,170,1
5,175,1
6,180,1
6,185,1
6,190,1
5,195,1
6,200,1
5,205,1
5,210,1
5,215,1
5,220,1
6,225,1
6,230,1
6,235,1
5,240,1
6,245,1
5,250,1
5,255,1
6,260,1
6,265,1
5,270,1
6,275,1
5,280,1
6,285,1
5,290,1
6,295,1
5,300,1
5,305,1
6,310,1
6,315,1
5,320,1
5,325,1
5,330,1
5,335,1
5,340,1
5,345,1
5,350,1
6,355,1
